Country,1,2,3,4,5,6,7,8,9,10,11,12,Annual_Prep
AGO,154.99,148.54,169.91,109.07,15.14,0.37,0.32,3.41,20.1,69.77,144.51,155.16,991.31
BEN,2.16,8.15,35.99,69.76,118.89,153.81,180.24,196.31,180.95,76.12,8.69,3.22,1034.27
BFA,0.27,1.02,8.23,28.06,64.21,102.32,172.88,215.39,141.89,36.4,2.79,0.82,774.29
CAF,6.81,15.65,58.4,95.95,144.62,166.27,206.48,229.71,218.36,165.86,37.4,9.19,1354.67
CIV,10.19,36.56,80.84,120.53,161.23,212.75,158.02,168.06,195.82,129.86,59.75,22.44,1356.08
CMR,14.96,29.46,90.06,133.62,176.45,170.72,196.03,227.85,263.21,222.55,70.25,17.9,1613.07
COD,126.53,122.87,165.64,160.85,110.15,61.84,63.28,91.91,126.66,170.88,181.15,153.29,1535.04
COG,117.48,127.2,170.43,175.46,159.77,69.35,46.55,77.34,140.64,202.92,212.96,134.97,1635.05
GAB,147.52,155.24,220.87,208.36,178.72,42.96,9.2,19.94,112.47,286.92,286.38,150.85,1819.44
GHA,7.46,27.43,71.68,104.34,148.26,183.72,155.07,143.37,176.6,114.53,36.56,15.92,1184.94
GIN,2.25,9.44,26.38,63.8,131.57,213.49,317.1,385.68,325.32,170.67,41.87,5.99,1693.56
GNB,0,0.3,0.11,2.36,42.21,177.4,396.21,485.47,351.21,165.44,24.61,1.63,1646.95
GNQ,111.29,129.21,221.93,225.69,249.84,115.35,54.68,85.02,239.8,407.07,251.93,121.49,2213.31
LBR,23.76,69.86,99.45,153,252.8,359.98,320.88,341.74,399.1,261.44,125.09,52.99,2460.08
MLI,0.04,0.34,1.07,5.18,14.34,36.78,75.31,98.17,55.82,14.9,0.95,0.12,303.01
NER,0.01,0.4,0.46,1.21,6.09,16.79,48.19,64.48,21.42,1.75,0.02,0,160.8
NGA,3.46,9.6,30.83,68.79,115.38,158.44,215.14,230.02,197.65,92.29,13.01,3.93,1138.53
SDN,0.41,0.58,1.32,3.64,12.56,28.45,60.19,75.12,36.92,12.79,1.36,0.7,234.04
SEN,0.31,0.49,0.06,0.28,11.07,68.76,155.46,224.18,178.62,58.9,2.78,0.18,701.1
SLE,4.8,14.91,35.61,95.34,220.75,314.44,464.91,519.26,411.2,276.87,95.38,18.25,2471.72
SSD,2.38,6.46,27.3,62.66,116.4,133.88,161.69,175,144.19,96.49,25.03,5.11,956.58
TCD,0.21,1.38,2.26,8.36,20.86,37.11,82.39,113.71,51.31,12.4,0.35,0.15,330.51
TGO,5.43,18.55,63.34,99.82,134.1,169.05,186.47,183.22,194.86,105.01,20.43,8.82,1189.11
